event_number,Mean,Trough_1_x,Trough_1_val,Peak_1_x,Peak_1_val,Trough_2_x,Trough_2_val,Peak_2_x,Peak_2_val,Trough_3_x,Trough_3_val,Peak_3_x,Peak_3_val,Diff_1,Diff_2,Diff_3
0,1.513981538660386,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,1.2696685791015625,485.0,1.270904541015625,0.0,0.0,0.0012359619140625
1,1.0901363597196692,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,442.0,1.1097564697265625,505.0,1.137451171875,0.0,0.0,0.0276947021484375
2,1.029756134631587,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,0.9443359375,485.0,0.9519805908203125,0.0,0.0,0.0076446533203125
3,0.8729963115617341,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.0,0.0,0.0
4,0.7858135746974572,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.0,0.0,0.0
5,0.7749364516314339,165.0,0.0,185.0,0.0,315.0,0.78411865234375,335.0,0.7993316650390625,465.0,0.0,485.0,0.0,0.0,0.0152130126953125,0.0
6,0.8703415814568015,165.0,0.8620452880859375,185.0,0.868621826171875,315.0,0.0,335.0,0.0,465.0,0.832916259765625,485.0,0.855865478515625,0.0065765380859375,0.0,0.02294921875
7,0.7946810254863664,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,0.81396484375,485.0,0.8163604736328125,0.0,0.0,0.0023956298828125
8,0.7662652707567402,165.0,0.0,185.0,0.0,315.0,0.7560272216796875,335.0,0.762054443359375,465.0,1.0495452880859375,485.0,1.3970947265625,0.0,0.0060272216796875,0.3475494384765625
9,1.6660129322725183,167.0,1.7220916748046875,228.0,2.2811737060546875,294.0,1.9646453857421875,340.0,2.1607666015625,441.0,1.9203643798828125,518.0,2.374053955078125,0.55908203125,0.1961212158203125,0.4536895751953125
10,1.8388124353745405,171.0,1.7447052001953125,232.0,2.190521240234375,315.0,0.0,335.0,0.0,423.0,1.638153076171875,498.0,2.3074493408203125,0.4458160400390625,0.0,0.6692962646484375
11,1.4700033150467218,137.0,1.39630126953125,212.0,1.92510986328125,298.0,1.7435760498046875,352.0,1.9544219970703125,465.0,0.0,485.0,0.0,0.52880859375,0.210845947265625,0.0
12,1.2909833122702206,153.0,1.201171875,219.0,1.4525299072265625,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.2513580322265625,0.0,0.0
13,1.0105207854626226,153.0,1.018768310546875,185.0,1.163970947265625,315.0,0.0,335.0,0.0,465.0,1.723236083984375,485.0,1.855499267578125,0.14520263671875,0.0,0.13226318359375
14,1.0858133353439032,151.0,1.0272216796875,185.0,1.191741943359375,332.0,1.331695556640625,335.0,1.3331451416015625,434.0,1.4871978759765625,501.0,1.887725830078125,0.164520263671875,0.0014495849609375,0.4005279541015625
15,1.1256001790364583,130.0,1.0713653564453125,213.0,1.2451171875,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.1737518310546875,0.0,0.0
16,1.1612447102864583,160.0,1.0384521484375,185.0,1.10418701171875,297.0,1.1925048828125,355.0,1.32879638671875,429.0,1.1845703125,511.0,1.6321868896484375,0.06573486328125,0.13629150390625,0.4476165771484375
17,1.171311621572457,170.0,1.0597076416015625,231.0,1.1399383544921875,315.0,1.059295654296875,335.0,1.05950927734375,465.0,1.31756591796875,485.0,1.451934814453125,0.080230712890625,0.000213623046875,0.134368896484375
18,1.0165336459290748,171.0,0.975494384765625,185.0,0.9779052734375,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.002410888671875,0.0,0.0
19,0.8306073955461091,165.0,0.814971923828125,185.0,0.81793212890625,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.002960205078125,0.0,0.0
20,0.7795057109757966,132.0,0.7643890380859375,185.0,0.8674468994140625,315.0,1.1394500732421875,335.0,1.1906890869140625,430.0,1.0676116943359375,513.0,1.5150604248046875,0.103057861328125,0.051239013671875,0.44744873046875
21,0.9581840365540748,158.0,0.9124298095703125,208.0,0.92828369140625,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.0158538818359375,0.0,0.0
22,0.7716725667317709,165.0,0.76025390625,185.0,0.770294189453125,256.0,0.8471527099609375,301.0,0.90411376953125,408.0,0.9010009765625,504.0,1.3281097412109375,0.010040283203125,0.0569610595703125,0.4271087646484375
23,0.8570778042662377,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.0,0.0,0.0
